,nstrike_1,idrings,Id,nstrike_2,date,F_AREA,area_gap_r,percent_area
0,10,8.0,25.0,10,2017-08-31,93.9584709092,0.47467716830458545,0.5051989072526585
1,10,9.0,25.0,10,2017-08-31,93.9584709092,3.2316762977892166,3.4394730634902073
2,10,10.0,25.0,10,2017-08-31,93.9584709092,6.143601476217992,6.538635012648378
3,10,11.0,25.0,10,2017-08-31,93.9584709092,8.93298560776966,9.507376526382979
4,10,12.0,25.0,10,2017-08-31,93.9584709092,10.15875003602468,10.811957599695228
5,10,13.0,25.0,10,2017-08-31,93.9584709092,10.813150159421847,11.508435646926934
6,10,14.0,25.0,10,2017-08-31,93.9584709092,11.29424347413337,12.0204632587603
7,10,15.0,25.0,10,2017-08-31,93.9584709092,12.300356174416171,13.09126899936786
8,10,16.0,25.0,10,2017-08-31,93.9584709092,13.006646022116348,13.842973279850165
9,10,17.0,25.0,10,2017-08-31,93.9584709092,11.312961324451448,12.04038466673656
10,10,18.0,25.0,10,2017-08-31,93.9584709092,6.172112585621361,6.568979386207757
11,10,19.0,25.0,10,2017-08-31,93.9584709092,0.11731058298028854,0.12485365273095562
0,12,1.0,18.0,12,2016-09-22,493.319720376,3.136548490450947,0.635804400452575
1,12,2.0,18.0,12,2016-09-22,493.319720376,7.39408743848276,1.4988428666194633
2,12,3.0,18.0,12,2016-09-22,493.319720376,7.363792836230695,1.4927018994128465
3,12,4.0,18.0,12,2016-09-22,493.319720376,9.794902733544305,1.9855080445757967
4,12,5.0,18.0,12,2016-09-22,493.319720376,13.28977274551795,2.693947190148553
5,12,6.0,18.0,12,2016-09-22,493.319720376,16.986884690950962,3.4433824534733466
6,12,7.0,18.0,12,2016-09-22,493.319720376,19.820625890886916,4.017805303988246
7,12,8.0,18.0,12,2016-09-22,493.319720376,22.951057789241617,4.652369820478432
8,12,9.0,18.0,12,2016-09-22,493.319720376,27.715236144799274,5.618108297733402
9,12,10.0,18.0,12,2016-09-22,493.319720376,31.69769831492702,6.425386418926769
10,12,11.0,18.0,12,2016-09-22,493.319720376,33.72049086910117,6.835423251152411
11,12,12.0,18.0,12,2016-09-22,493.319720376,33.54606417540436,6.800065513261078
12,12,13.0,18.0,12,2016-09-22,493.319720376,31.43670841875722,6.372481601748394
13,12,14.0,18.0,12,2016-09-22,493.319720376,31.830317794554983,6.452269487685277
14,12,15.0,18.0,12,2016-09-22,493.319720376,32.55103696384192,6.598365242531166
15,12,16.0,18.0,12,2016-09-22,493.319720376,31.18930605272918,6.3223310896546385
16,12,17.0,18.0,12,2016-09-22,493.319720376,24.892394799579414,5.045894938196844
17,12,18.0,18.0,12,2016-09-22,493.319720376,18.725689934554094,3.795852701830303
18,12,19.0,18.0,12,2016-09-22,493.319720376,13.898458141727676,2.8173327697369377
19,12,20.0,18.0,12,2016-09-22,493.319720376,10.411742723833493,2.1105466280362433
20,12,21.0,18.0,12,2016-09-22,493.319720376,11.743764672312619,2.380558527715397
21,12,22.0,18.0,12,2016-09-22,493.319720376,12.373612247491282,2.508233856546485
22,12,23.0,18.0,12,2016-09-22,493.319720376,11.069232973399199,2.243825356294781
23,12,24.0,18.0,12,2016-09-22,493.319720376,9.026906970140896,1.8298289318863514
24,12,25.0,18.0,12,2016-09-22,493.319720376,7.913198729035468,1.6040710318663443
25,12,26.0,18.0,12,2016-09-22,493.319720376,7.385980722122756,1.4971995679583385
26,12,27.0,18.0,12,2016-09-22,493.319720376,5.043010568266141,1.0222600800191897
27,12,28.0,18.0,12,2016-09-22,493.319720376,4.10426004999879,0.8319675619029768
28,12,29.0,18.0,12,2016-09-22,493.319720376,2.285518210089551,0.463293502304665
29,12,30.0,18.0,12,2016-09-22,493.319720376,0.021418283540583945,0.004341663764071562
0,16,1.0,25.0,16,2017-08-31,329.736379209,2.9482917648191047,0.8941360282695288
1,16,2.0,25.0,16,2017-08-31,329.736379209,7.721994227753316,2.3418690549940226
2,16,3.0,25.0,16,2017-08-31,329.736379209,13.080016782374742,3.9668103391418965
3,16,4.0,25.0,16,2017-08-31,329.736379209,16.92197850038057,5.131971953162847
4,16,5.0,25.0,16,2017-08-31,329.736379209,18.021013952311687,5.465279262040193
5,16,6.0,25.0,16,2017-08-31,329.736379209,22.313987258233205,6.767220320597296
6,16,7.0,25.0,16,2017-08-31,329.736379209,26.080635994770525,7.909541572978693
7,16,8.0,25.0,16,2017-08-31,329.736379209,31.65058625626492,9.598754717993527
8,16,9.0,25.0,16,2017-08-31,329.736379209,32.878213008008565,9.971060241178014
9,16,10.0,25.0,16,2017-08-31,329.736379209,29.11486328945289,8.82973949046694
10,16,11.0,25.0,16,2017-08-31,329.736379209,28.942310692318323,8.777409020426447
11,16,12.0,25.0,16,2017-08-31,329.736379209,24.8801402711207,7.5454641464812955
12,16,13.0,25.0,16,2017-08-31,329.736379209,21.45875903434622,6.507853056985503
13,16,14.0,25.0,16,2017-08-31,329.736379209,18.316591171457492,5.554919725690234
14,16,15.0,25.0,16,2017-08-31,329.736379209,14.207458464422082,4.308732478504239
15,16,16.0,25.0,16,2017-08-31,329.736379209,9.917084336239505,3.0075796792666494
16,16,17.0,25.0,16,2017-08-31,329.736379209,7.761586734719284,2.3538763764369723
17,16,18.0,25.0,16,2017-08-31,329.736379209,3.4173612690226554,1.0363919435339575
18,16,19.0,25.0,16,2017-08-31,329.736379209,0.10350620079691401,0.03139059179494043
0,17,1.0,32.0,17,2018-07-24,220.81148677,2.524331522897905,1.1432066147569941
1,17,2.0,32.0,17,2018-07-24,220.81148677,4.754860027121085,2.1533571901872146
2,17,3.0,32.0,17,2018-07-24,220.81148677,5.791912387190793,2.6230122680273973
3,17,4.0,32.0,17,2018-07-24,220.81148677,8.752353320402953,3.963721927890244
4,17,5.0,32.0,17,2018-07-24,220.81148677,10.741548062275308,4.864578477959274
5,17,6.0,32.0,17,2018-07-24,220.81148677,11.56023272904672,5.235340288745034
6,17,7.0,32.0,17,2018-07-24,220.81148677,12.485185297156423,5.6542281743527
7,17,8.0,32.0,17,2018-07-24,220.81148677,12.970482922063901,5.874007331681127
8,17,9.0,32.0,17,2018-07-24,220.81148677,10.707655588221826,4.8492294240901765
9,17,10.0,32.0,17,2018-07-24,220.81148677,8.318227725527986,3.7671173031828533
10,17,11.0,32.0,17,2018-07-24,220.81148677,9.19305156508705,4.163303141318299
11,17,12.0,32.0,17,2018-07-24,220.81148677,8.577074246359404,3.884342418876692
12,17,13.0,32.0,17,2018-07-24,220.81148677,5.876919502540364,2.661509864594063
13,17,14.0,32.0,17,2018-07-24,220.81148677,6.492341887215931,2.9402192712820394
14,17,15.0,32.0,17,2018-07-24,220.81148677,10.367968780743228,4.695393764339187
15,17,16.0,32.0,17,2018-07-24,220.81148677,11.900588947480808,5.3894791079762125
16,17,17.0,32.0,17,2018-07-24,220.81148677,12.730414091712088,5.765286162387126
17,17,18.0,32.0,17,2018-07-24,220.81148677,13.459648661757571,6.095538261457072
18,17,19.0,32.0,17,2018-07-24,220.81148677,13.246780379449623,5.9991355401033255
19,17,20.0,32.0,17,2018-07-24,220.81148677,13.466561613027666,6.098668964198682
20,17,21.0,32.0,17,2018-07-24,220.81148677,10.842406351205168,4.910254674612446
21,17,22.0,32.0,17,2018-07-24,220.81148677,10.126901783654382,4.586220550293514
22,17,23.0,32.0,17,2018-07-24,220.81148677,5.305183632340235,2.4025849877394196
23,17,24.0,32.0,17,2018-07-24,220.81148677,0.6188557454154839,0.28026428990086544
0,18005,1.0,45.0,18005,2019-09-23,147.475801116,0.7290991027502249,0.49438558545394007
1,18005,2.0,45.0,18005,2019-09-23,147.475801116,4.853333333620437,3.2909353920396414
2,18005,3.0,45.0,18005,2019-09-23,147.475801116,13.573844654344509,9.204116574805198
3,18005,4.0,45.0,18005,2019-09-23,147.475801116,19.875498856456964,13.477125539276438
4,18005,5.0,45.0,18005,2019-09-23,147.475801116,19.744556135191477,13.388336246202865
5,18005,6.0,45.0,18005,2019-09-23,147.475801116,15.773793265846175,10.69585189331434
6,18005,7.0,45.0,18005,2019-09-23,147.475801116,12.951294361197343,8.781979323516437
7,18005,8.0,45.0,18005,2019-09-23,147.475801116,13.951034073984625,9.459880175874522
8,18005,9.0,45.0,18005,2019-09-23,147.475801116,13.233120423030627,8.973079191902036
9,18005,10.0,45.0,18005,2019-09-23,147.475801116,11.124782040108686,7.543462694166528
10,18005,11.0,45.0,18005,2019-09-23,147.475801116,7.4745318466782695,5.068310726313009
11,18005,12.0,45.0,18005,2019-09-23,147.475801116,6.5132476954073315,4.416485719093811
12,18005,13.0,45.0,18005,2019-09-23,147.475801116,5.276002572266706,3.57753782813274
13,18005,14.0,45.0,18005,2019-09-23,147.475801116,2.401662755075618,1.6285131098806798
0,18012,3.0,45.0,18012,2019-09-23,49.0559982547,0.594742643124868,1.212374967964058
1,18012,4.0,45.0,18012,2019-09-23,49.0559982547,2.8725404637324328,5.855635530680935
2,18012,5.0,45.0,18012,2019-09-23,49.0559982547,4.309800285826058,8.785470562538478
3,18012,6.0,45.0,18012,2019-09-23,49.0559982547,5.829972491223564,11.884321385030628
4,18012,7.0,45.0,18012,2019-09-23,49.0559982547,7.346560149559192,14.975865156011428
5,18012,8.0,45.0,18012,2019-09-23,49.0559982547,5.4524842629717325,11.114816652312923
6,18012,9.0,45.0,18012,2019-09-23,49.0559982547,2.3651992905035413,4.821427296664856
7,18012,10.0,45.0,18012,2019-09-23,49.0559982547,3.6977572624012462,7.537828999427136
8,18012,11.0,45.0,18012,2019-09-23,49.0559982547,4.176780826846249,8.514312164559971
9,18012,12.0,45.0,18012,2019-09-23,49.0559982547,4.088992485697253,8.33535679870808
10,18012,13.0,45.0,18012,2019-09-23,49.0559982547,2.982078772537595,6.078927916326491
11,18012,14.0,45.0,18012,2019-09-23,49.0559982547,2.598390912135237,5.296785315924721
12,18012,15.0,45.0,18012,2019-09-23,49.0559982547,2.208690651645378,4.502386517909185
13,18012,16.0,45.0,18012,2019-09-23,49.0559982547,0.5320077564227099,1.0844907357924143
0,19001,20.0,45.0,19001,2019-09-23,28.7776771613,0.31943089117102674,1.1099953946268983
1,19001,21.0,45.0,19001,2019-09-23,28.7776771613,2.1553192207986798,7.489552435792617
2,19001,22.0,45.0,19001,2019-09-23,28.7776771613,4.7900532524765005,16.645030888448936
3,19001,23.0,45.0,19001,2019-09-23,28.7776771613,6.069250631339252,21.090133846873275
4,19001,24.0,45.0,19001,2019-09-23,28.7776771613,5.552141106541448,19.2932218796586
5,19001,25.0,45.0,19001,2019-09-23,28.7776771613,5.6206251164230165,19.531198035613485
6,19001,26.0,45.0,19001,2019-09-23,28.7776771613,3.4525557736727572,11.99734000183909
7,19001,27.0,45.0,19001,2019-09-23,28.7776771613,0.8183011689371458,2.8435275173549828
0,19021,13.0,47.0,19021,2019-11-28,80.2799022029,0.5653288864453581,0.7041972784378109
1,19021,14.0,47.0,19021,2019-11-28,80.2799022029,4.146365498884921,5.1648860861904975
2,19021,15.0,47.0,19021,2019-11-28,80.2799022029,3.5180028377530217,4.382171304670496
3,19021,16.0,47.0,19021,2019-11-28,80.2799022029,2.992872679895604,3.728047241925377
4,19021,17.0,47.0,19021,2019-11-28,80.2799022029,1.8396852766554022,2.2915888362765666
5,19021,18.0,47.0,19021,2019-11-28,80.2799022029,0.2934467179192815,0.3655294910270595
6,19021,23.0,47.0,19021,2019-11-28,80.2799022029,1.0822265532405568,1.3480666063908868
7,19021,24.0,47.0,19021,2019-11-28,80.2799022029,3.405382822354976,4.241887108616782
8,19021,25.0,47.0,19021,2019-11-28,80.2799022029,4.507362209360357,5.614558669950067
9,19021,26.0,47.0,19021,2019-11-28,80.2799022029,5.15915165342708,6.426454830983479
10,19021,27.0,47.0,19021,2019-11-28,80.2799022029,7.124567486715194,8.874658901188633
11,19021,28.0,47.0,19021,2019-11-28,80.2799022029,9.441318040690144,11.760500177028229
12,19021,29.0,47.0,19021,2019-11-28,80.2799022029,10.376274937396966,12.925121546824874
13,19021,30.0,47.0,19021,2019-11-28,80.2799022029,10.188657707435585,12.691417687187384
14,19021,31.0,47.0,19021,2019-11-28,80.2799022029,6.66227111757285,8.298803230644923
15,19021,32.0,47.0,19021,2019-11-28,80.2799022029,5.121587446708906,6.379663285792961
16,19021,33.0,47.0,19021,2019-11-28,80.2799022029,3.4288532241693224,4.271122821628773
17,19021,34.0,47.0,19021,2019-11-28,80.2799022029,0.42654710645347305,0.5313248954581619
0,20,15.0,17.0,20,2016-07-13,38.4756145901,0.7801012051044639,2.0275211024314306
1,20,16.0,17.0,20,2016-07-13,38.4756145901,4.042443143720211,10.50650700914432
2,20,17.0,17.0,20,2016-07-13,38.4756145901,5.818658630333721,15.122977741415717
3,20,18.0,17.0,20,2016-07-13,38.4756145901,5.272475750043916,13.703421780819466
4,20,19.0,17.0,20,2016-07-13,38.4756145901,5.44919206035633,14.162716095400432
5,20,20.0,17.0,20,2016-07-13,38.4756145901,5.406610338049428,14.052044121058902
6,20,21.0,17.0,20,2016-07-13,38.4756145901,4.724476963644558,12.27914619162495
7,20,22.0,17.0,20,2016-07-13,38.4756145901,4.232185966708423,10.999657865887318
8,20,23.0,17.0,20,2016-07-13,38.4756145901,2.7494705320710415,7.146008092040969
0,30,1.0,36.0,30,2018-12-26,255.139795811,2.9234530539488826,1.1458240156758963
1,30,2.0,36.0,30,2018-12-26,255.139795811,6.93363721079266,2.7175835854038595
2,30,3.0,36.0,30,2018-12-26,255.139795811,10.852198926985984,4.253432473162663
3,30,4.0,36.0,30,2018-12-26,255.139795811,14.938360126014127,5.854970636207619
4,30,5.0,36.0,30,2018-12-26,255.139795811,16.988528322732048,6.658517644701983
5,30,6.0,36.0,30,2018-12-26,255.139795811,17.848443342071786,6.995554450977684
6,30,7.0,36.0,30,2018-12-26,255.139795811,18.937788304384036,7.4225144862985575
7,30,8.0,36.0,30,2018-12-26,255.139795811,21.700007107336116,8.505144028339208
8,30,9.0,36.0,30,2018-12-26,255.139795811,23.358780414533953,9.155286943882892
9,30,10.0,36.0,30,2018-12-26,255.139795811,23.416100009259537,9.177752900063261
10,30,11.0,36.0,30,2018-12-26,255.139795811,23.671375688948295,9.277806158661093
11,30,12.0,36.0,30,2018-12-26,255.139795811,18.599865983387744,7.290068538412554
12,30,13.0,36.0,30,2018-12-26,255.139795811,10.300617067889963,4.037244380143799
13,30,14.0,36.0,30,2018-12-26,255.139795811,5.589205916510414,2.190644504807369
14,30,15.0,36.0,30,2018-12-26,255.139795811,11.646663491761439,4.5648164978500425
15,30,16.0,36.0,30,2018-12-26,255.139795811,12.706303743149665,4.98013400957729
16,30,17.0,36.0,30,2018-12-26,255.139795811,11.08096658421236,4.343096124612725
17,30,18.0,36.0,30,2018-12-26,255.139795811,3.647500517299674,1.4296086213072126
0,3,1.0,25.0,3,2017-08-31,691.388002762,3.136548490450947,0.4536596640266922
1,3,2.0,25.0,3,2017-08-31,691.388002762,9.409645471731068,1.3609789921347821
2,3,3.0,25.0,3,2017-08-31,691.388002762,14.556281114208264,2.1053707984601875
3,3,4.0,25.0,3,2017-08-31,691.388002762,21.725337888215424,3.1422786917657937
4,3,5.0,25.0,3,2017-08-31,691.388002762,27.976452832847343,4.046418613149962
5,3,6.0,25.0,3,2017-08-31,691.388002762,29.2048074372469,4.224083628957649
6,3,7.0,25.0,3,2017-08-31,691.388002762,26.574236391977347,3.8436068149601854
7,3,8.0,25.0,3,2017-08-31,691.388002762,27.599109561117192,3.9918409707519573
8,3,9.0,25.0,3,2017-08-31,691.388002762,28.349857174758604,4.1004265421882975
9,3,10.0,25.0,3,2017-08-31,691.388002762,31.255986607236963,4.520759180427429
10,3,11.0,25.0,3,2017-08-31,691.388002762,34.79213145392439,5.032215097012764
11,3,12.0,25.0,3,2017-08-31,691.388002762,37.71629554130058,5.455156206157637
12,3,13.0,25.0,3,2017-08-31,691.388002762,34.77307943995914,5.029459478765247
13,3,14.0,25.0,3,2017-08-31,691.388002762,32.731367324761656,4.734153209775747
14,3,15.0,25.0,3,2017-08-31,691.388002762,28.873463598014858,4.176159187412761
15,3,16.0,25.0,3,2017-08-31,691.388002762,27.891655412221823,4.034153803768433
16,3,17.0,25.0,3,2017-08-31,691.388002762,26.760529136465614,3.870551561433085
17,3,18.0,25.0,3,2017-08-31,691.388002762,25.438498244928976,3.679337527308208
18,3,19.0,25.0,3,2017-08-31,691.388002762,19.358403917289237,2.7999334440220363
19,3,20.0,25.0,3,2017-08-31,691.388002762,17.435729739259994,2.5218444158137907
20,3,21.0,25.0,3,2017-08-31,691.388002762,16.402995757691013,2.37247329895273
21,3,22.0,25.0,3,2017-08-31,691.388002762,12.607486482582566,1.8235037970311012
22,3,23.0,25.0,3,2017-08-31,691.388002762,14.405224849504316,2.0835225361095975
23,3,24.0,25.0,3,2017-08-31,691.388002762,15.946163149984109,2.3063985904125293
24,3,25.0,25.0,3,2017-08-31,691.388002762,16.954403747897214,2.4522270678933826
25,3,26.0,25.0,3,2017-08-31,691.388002762,17.472364883582777,2.527143197999254
26,3,27.0,25.0,3,2017-08-31,691.388002762,18.599966451795687,2.690235638670526
27,3,28.0,25.0,3,2017-08-31,691.388002762,17.946388954277186,2.595704421046334
28,3,29.0,25.0,3,2017-08-31,691.388002762,13.690387365820515,1.9801308832564781
29,3,30.0,25.0,3,2017-08-31,691.388002762,9.093261967331253,1.3152183623385019
30,3,31.0,25.0,3,2017-08-31,691.388002762,6.140589305529468,0.8881538703302136
31,3,32.0,25.0,3,2017-08-31,691.388002762,5.4297092126120035,0.7853346009651688
32,3,33.0,25.0,3,2017-08-31,691.388002762,4.667343326335551,0.6750686022450717
33,3,34.0,25.0,3,2017-08-31,691.388002762,4.10281462664566,0.5934170986848889
34,3,35.0,25.0,3,2017-08-31,691.388002762,4.871696764185362,0.7046255857381967
35,3,36.0,25.0,3,2017-08-31,691.388002762,4.145417470187381,0.5995790285088847
36,3,37.0,25.0,3,2017-08-31,691.388002762,2.820711600840958,0.4079780947272158
37,3,38.0,25.0,3,2017-08-31,691.388002762,0.5316600672395136,0.07689749679132481
0,6,3.0,29.0,6,2018-02-28,168.61382303,2.9954249737954153,1.776500241775827
1,6,4.0,29.0,6,2018-02-28,168.61382303,7.398788094705106,4.388008030272052
2,6,5.0,29.0,6,2018-02-28,168.61382303,10.890481900852599,6.458831017024595
3,6,6.0,29.0,6,2018-02-28,168.61382303,14.262425499862866,8.4586336064068
4,6,7.0,29.0,6,2018-02-28,168.61382303,17.742782956020196,10.522733330625792
5,6,8.0,29.0,6,2018-02-28,168.61382303,19.44623065425027,11.53299907730007
6,6,9.0,29.0,6,2018-02-28,168.61382303,19.773784272319965,11.727261690046484
7,6,10.0,29.0,6,2018-02-28,168.61382303,17.65959378020853,10.473396227465
8,6,11.0,29.0,6,2018-02-28,168.61382303,15.2673774408151,9.05464164589798
9,6,12.0,29.0,6,2018-02-28,168.61382303,11.413079781055437,6.76876876163635
10,6,13.0,29.0,6,2018-02-28,168.61382303,10.841733283000636,6.429919616419384
11,6,14.0,29.0,6,2018-02-28,168.61382303,9.298595705302485,5.514729183056401
12,6,15.0,29.0,6,2018-02-28,168.61382303,6.577552173639249,3.9009566685816512
13,6,16.0,29.0,6,2018-02-28,168.61382303,4.236128010727813,2.512325463360211
14,6,17.0,29.0,6,2018-02-28,168.61382303,0.8098445030652435,0.4802954399065816
0,8b,1.0,28.0,8b,2017-11-29,331.048858901,2.8146388485316614,0.8502185622616442
1,8b,2.0,28.0,8b,2017-11-29,331.048858901,6.643182400099415,2.0067075362087428
2,8b,3.0,28.0,8b,2017-11-29,331.048858901,12.45951782553854,3.763649228969115
3,8b,4.0,28.0,8b,2017-11-29,331.048858901,19.387830939784457,5.856486261317208
4,8b,5.0,28.0,8b,2017-11-29,331.048858901,24.36989974336497,7.3614208562044245
5,8b,6.0,28.0,8b,2017-11-29,331.048858901,22.944499763164117,6.930849977654101
6,8b,7.0,28.0,8b,2017-11-29,331.048858901,21.45214279143517,6.480053386273843
7,8b,8.0,28.0,8b,2017-11-29,331.048858901,19.62263316890006,5.927413021160178
8,8b,9.0,28.0,8b,2017-11-29,331.048858901,15.572988866589407,4.704136095888644
9,8b,10.0,28.0,8b,2017-11-29,331.048858901,7.356913475419282,2.2223044356178745
10,8b,11.0,28.0,8b,2017-11-29,331.048858901,4.5247372796328085,1.3667883630995776
11,8b,12.0,28.0,8b,2017-11-29,331.048858901,4.535291000023159,1.3699763276874595
12,8b,13.0,28.0,8b,2017-11-29,331.048858901,3.76279104649148,1.1366271005986885
13,8b,14.0,28.0,8b,2017-11-29,331.048858901,3.8593888117896644,1.1658064083355781
14,8b,15.0,28.0,8b,2017-11-29,331.048858901,4.185977940830918,1.2644592567777837
15,8b,16.0,28.0,8b,2017-11-29,331.048858901,4.285959189682724,1.2946606141193309
16,8b,17.0,28.0,8b,2017-11-29,331.048858901,4.064848198552065,1.2278695694787627
17,8b,18.0,28.0,8b,2017-11-29,331.048858901,3.9456706127130587,1.1918695704953357
18,8b,19.0,28.0,8b,2017-11-29,331.048858901,4.601519836214173,1.3899820864781338
19,8b,20.0,28.0,8b,2017-11-29,331.048858901,5.475383410607732,1.653950244318813
20,8b,21.0,28.0,8b,2017-11-29,331.048858901,6.371067040130258,1.9245095909046834
21,8b,22.0,28.0,8b,2017-11-29,331.048858901,7.459336060048489,2.2532432477827085
22,8b,23.0,28.0,8b,2017-11-29,331.048858901,8.384592455381346,2.532735646096504
23,8b,24.0,28.0,8b,2017-11-29,331.048858901,9.243182469230211,2.792090116218881
24,8b,25.0,28.0,8b,2017-11-29,331.048858901,9.715836810648572,2.9348649147750385
25,8b,26.0,28.0,8b,2017-11-29,331.048858901,9.973278849253528,3.0126304867391287
26,8b,27.0,28.0,8b,2017-11-29,331.048858901,9.939120406465241,3.002312238580327
27,8b,28.0,28.0,8b,2017-11-29,331.048858901,9.014532139860263,2.7230216620550425
28,8b,29.0,28.0,8b,2017-11-29,331.048858901,7.637020194541492,2.306916332499832
29,8b,30.0,28.0,8b,2017-11-29,331.048858901,6.487678900660531,1.959734560692344
30,8b,31.0,28.0,8b,2017-11-29,331.048858901,5.392154493223667,1.6288092673463004
31,8b,32.0,28.0,8b,2017-11-29,331.048858901,4.555793155871776,1.3761694183136224
32,8b,33.0,28.0,8b,2017-11-29,331.048858901,3.822560485121996,1.1546816677791756
33,8b,34.0,28.0,8b,2017-11-29,331.048858901,3.5212461895229166,1.063663593710179
34,8b,35.0,28.0,8b,2017-11-29,331.048858901,3.4853168692512635,1.052810416209151
35,8b,36.0,28.0,8b,2017-11-29,331.048858901,3.3457824004217755,1.0106612092030591
36,8b,37.0,28.0,8b,2017-11-29,331.048858901,4.62170548873247,1.3960795708752431
37,8b,38.0,28.0,8b,2017-11-29,331.048858901,6.148147034984927,1.857172097011676
38,8b,39.0,28.0,8b,2017-11-29,331.048858901,6.94925368957814,2.099162556441951
39,8b,40.0,28.0,8b,2017-11-29,331.048858901,6.550285543671352,1.9786461628101282
0,9,12.0,20.0,9,2016-12-23,18.9362175071,1.748635776159343,9.234345642173283
1,9,13.0,20.0,9,2016-12-23,18.9362175071,3.9336335309459978,20.773069011649817
2,9,14.0,20.0,9,2016-12-23,18.9362175071,4.856235266819455,25.645223313466083
3,9,15.0,20.0,9,2016-12-23,18.9362175071,4.566990619618608,24.11775539600898
4,9,16.0,20.0,9,2016-12-23,18.9362175071,3.307355501131052,17.46576632788984
5,9,17.0,20.0,9,2016-12-23,18.9362175071,0.5233668124099268,2.763840308729524
